9606.A0A096LPK9	ORN4C_HUMAN
9606.Q9H209	O10A4_HUMAN
9606.Q9GZK4	OR2H1_HUMAN
9606.Q9HBW0	LPAR2_HUMAN
9606.Q9H228	S1PR5_HUMAN
9606.Q9GZM6	OR8D2_HUMAN
9606.Q9H341	O51M1_HUMAN
9606.Q9H343	O51I1_HUMAN
9606.Q9H346	O52D1_HUMAN
9606.Q9H339	O51B5_HUMAN
9606.Q9H344	O51I2_HUMAN
9606.Q9H255	O51E2_HUMAN
9606.Q9H2C8	O51V1_HUMAN
9606.Q9HBX9	RXFP1_HUMAN
9606.Q9H340	O51B6_HUMAN
9606.Q9H2C5	O52A5_HUMAN
9606.Q9GZN0	GPR88_HUMAN
9606.Q9H342	O51J1_HUMAN
9606.Q9NYM4	GPR83_HUMAN
9606.Q9NPB9	ACKR4_HUMAN
9606.Q9NSD7	RL3R1_HUMAN
9606.Q9NS75	CLTR2_HUMAN
9606.Q9P1P5	TAAR2_HUMAN
9606.Q9P1P4	TAAR3_HUMAN
9606.Q9NQN1	OR2S1_HUMAN
9606.Q9NPC1	LT4R2_HUMAN
9606.Q9NZP2	OR6C2_HUMAN
9606.Q9NZP0	OR6C3_HUMAN
9606.Q9P1Q5	OR1A1_HUMAN
9606.Q9NQS5	GPR84_HUMAN
9606.Q9NS66	GP173_HUMAN
9606.Q9P296	C5AR2_HUMAN
9606.Q9NZP5	O5AC2_HUMAN
9606.Q9NS67	GPR27_HUMAN
9606.Q9Y5X5	NPFF2_HUMAN
9606.Q9UHM6	OPN4_HUMAN
9606.Q9Y5N1	HRH3_HUMAN
9606.Q9Y271	CLTR1_HUMAN
9606.Q9UKP6	UR2R_HUMAN
9606.Q9UPC5	GPR34_HUMAN
9606.Q9Y5Y3	GPR45_HUMAN
9606.Q9Y5Y4	PD2R2_HUMAN
9606.Q9UGF6	OR5V1_HUMAN
9606.Q9UNW8	GP132_HUMAN
9606.Q9Y3N9	OR2W1_HUMAN
9606.Q9UBY5	LPAR3_HUMAN
9606.Q9Y2T5	GPR52_HUMAN
9606.Q9Y2T6	GPR55_HUMAN
9606.Q9UGF5	O14J1_HUMAN
9606.Q9Y585	OR1A2_HUMAN
9606.Q9Y4A9	O10H1_HUMAN
9606.Q9Y5P1	O51B2_HUMAN
9606.Q9UGF7	O12D3_HUMAN
9606.Q9Y5P0	O51B4_HUMAN
9606.Q9UKL2	O52A1_HUMAN
